location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;;;;;;13.89
Singapore;;;;;;13.89
Singapore;;;;;;13.89
Singapore;;;;;;13.89
Singapore;;;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;13.89
Singapore;0.0;0.0;;;;19.44
Singapore;0.143;0.0;;;;19.44
Singapore;0.429;0.0;;;;19.44
Singapore;0.571;0.0;;;;19.44
Singapore;0.571;0.0;;;;19.44
Singapore;0.714;0.0;;;;19.44
Singapore;1.0;0.0;;;;19.44
Singapore;1.429;0.0;;;;19.44
Singapore;1.714;0.0;;;;19.44
Singapore;1.857;0.0;;;;19.44
Singapore;2.0;0.0;;;;19.44
Singapore;2.0;0.0;;;;19.44
Singapore;1.857;0.0;;;;19.44
Singapore;2.429;0.0;;;;19.44
Singapore;2.571;0.0;;;;19.44
Singapore;2.429;0.0;;;;25.0
Singapore;2.429;0.0;;;;25.0
Singapore;3.143;0.0;;;;25.0
Singapore;3.571;0.0;;;;25.0
Singapore;3.857;0.0;;;;25.0
Singapore;3.286;0.0;;;;25.0
Singapore;3.143;0.0;;;;25.0
Singapore;4.0;0.0;;;;25.0
Singapore;4.857;0.0;;;;25.0
Singapore;4.571;0.0;;;;25.0
Singapore;4.571;0.0;;;;25.0
Singapore;4.571;0.0;;;;25.0
Singapore;4.857;0.0;;;;25.0
Singapore;4.857;0.0;;;;25.0
Singapore;3.857;0.0;;;;25.0
Singapore;2.714;0.0;;;;25.0
Singapore;2.429;0.0;;;;25.0
Singapore;2.0;0.0;;;;25.0
Singapore;1.857;0.0;;;;25.0
Singapore;1.429;0.0;;;;25.0
Singapore;1.286;0.0;;;;25.0
Singapore;1.571;0.0;;;;25.0
Singapore;1.714;0.0;;;;25.0
Singapore;1.857;0.0;0.7;;;25.0
Singapore;2.429;0.0;0.69;;;25.0
Singapore;2.571;0.0;0.7;;;25.0
Singapore;2.714;0.0;0.73;;;25.0
Singapore;2.714;0.0;0.82;;;25.0
Singapore;3.0;0.0;0.9;;;25.0
Singapore;4.571;0.0;0.97;;;25.0
